scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_morning,LSA16,LSA16_E_id14,14,2700.0,3600.0,16.0,16.0,64.0,0.7,13.2,13.16
weekend_morning,LSA16,LSA16_Eout_id13,13,2700.0,3600.0,72.0,72.0,288.0,3.11,12.78,12.6
weekend_morning,LSA16,LSA16_N_id6,6,2700.0,3600.0,18.0,18.0,72.0,0.81,12.46,12.28
weekend_morning,LSA16,LSA16_N_id7,7,2700.0,3600.0,24.0,24.0,96.0,0.95,13.08,12.99
weekend_morning,LSA16,LSA16_S_id1,1,2700.0,3600.0,36.0,36.0,144.0,10.04,9.13,1.84
weekend_morning,LSA16,LSA16_S_id2,2,2700.0,3600.0,29.0,29.0,116.0,1.24,13.34,13.27
weekend_morning,LSA16,LSA16_S_id33,33,2700.0,3600.0,13.0,13.0,52.0,0.62,12.98,12.71
weekend_morning,LSA16,LSA16_W_id3,3,2700.0,3600.0,37.0,36.0,144.0,47.58,6.26,0.4
weekend_morning,LSA16,LSA16_W_id4,4,2700.0,3600.0,11.0,10.0,40.0,24.99,1.92,0.23
weekend_morning,LSA16,LSA16_W_id5,5,2700.0,3600.0,37.0,37.0,148.0,2.32,10.82,9.4
weekend_morning,LSA16,LSA16_Wout_id15,15,2700.0,3600.0,52.0,52.0,208.0,2.16,13.65,13.59
weekend_morning,LSA1,LSA1_E_id13,13,2700.0,3600.0,31.0,31.0,124.0,29.94,6.75,0.58
weekend_morning,LSA1,LSA1_E_id14,14,2700.0,3600.0,76.0,75.0,300.0,8.55,9.84,4.59
weekend_morning,LSA1,LSA1_E_id23,23,2700.0,3600.0,46.0,44.0,176.0,33.48,7.88,0.78
weekend_morning,LSA1,LSA1_E_id24,24,2700.0,3600.0,48.0,47.0,188.0,10.68,10.0,4.19
weekend_morning,LSA1,LSA1_E_id25,25,2700.0,3600.0,15.0,15.0,60.0,57.13,1.84,0.13
weekend_morning,LSA1,LSA1_E_id26,26,2700.0,3600.0,15.0,15.0,60.0,0.76,10.73,10.37
weekend_morning,LSA1,LSA1_E_id27,27,2700.0,3600.0,46.0,46.0,184.0,7.59,8.13,3.6
weekend_morning,LSA1,LSA1_N_id28,28,2700.0,3600.0,7.0,7.0,28.0,0.32,11.8,10.9
weekend_morning,LSA1,LSA1_N_id30,30,2700.0,3600.0,42.0,42.0,168.0,41.94,7.04,0.53
weekend_morning,LSA1,LSA1_N_id39,39,2700.0,3600.0,43.0,43.0,172.0,4.83,11.51,4.8
weekend_morning,LSA1,LSA1_N_id40,40,2700.0,3600.0,31.0,31.0,124.0,26.94,6.81,0.58
weekend_morning,LSA1,LSA1_S_id11,11,2700.0,3600.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA1,LSA1_S_id12,12,2700.0,3600.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_morning,LSA1,LSA1_W_id10,10,2700.0,3600.0,101.0,101.0,404.0,63.03,7.93,0.89
weekend_morning,LSA1,LSA1_W_id7,7,2700.0,3600.0,22.0,22.0,88.0,96.51,2.8,0.13
weekend_morning,LSA1,LSA1_W_id8,8,2700.0,3600.0,17.0,16.0,64.0,79.81,1.71,0.11
weekend_morning,LSA1,LSA1_W_id9,9,2700.0,3600.0,98.0,93.0,372.0,31.65,9.14,1.94
weekend_morning,LSA9,LSA9_E_id8,8,2700.0,3600.0,78.0,74.0,296.0,13.38,9.77,3.84
weekend_morning,LSA9,LSA9_E_id9,9,2700.0,3600.0,25.0,25.0,100.0,2.66,11.35,6.28
weekend_morning,LSA9,LSA9_S_id10,10,2700.0,3600.0,3.0,0.0,0.0,81.75,-1.0,-1.0
weekend_morning,LSA9,LSA9_WE_id4,4,2700.0,3600.0,14.0,14.0,56.0,42.21,2.85,0.17
weekend_morning,LSA9,LSA9_WE_id5,5,2700.0,3600.0,16.0,14.0,56.0,44.94,2.52,0.2
weekend_morning,LSA9,LSA9_WE_id6,6,2700.0,3600.0,11.0,10.0,40.0,5.27,8.51,0.97
weekend_morning,LSA9,LSA9_WE_id7,7,2700.0,3600.0,18.0,18.0,72.0,1.05,10.08,9.34
weekend_morning,LSA9,LSA9_W_id1,1,2700.0,3600.0,49.0,49.0,196.0,12.05,9.43,2.24
weekend_morning,LSA9,LSA9_W_id2,2,2700.0,3600.0,58.0,57.0,228.0,33.9,8.58,0.88
weekend_morning,LSA10,LSA10_E_id3,3,3600.0,4500.0,45.0,45.0,180.0,11.37,9.58,3.08
weekend_morning,LSA10,LSA10_E_id4,4,3600.0,4500.0,29.0,29.0,116.0,1.34,12.23,11.91
weekend_morning,LSA10,LSA10_NE_id29,29,3600.0,4500.0,4.0,4.0,16.0,0.36,5.91,5.53
weekend_morning,LSA10,LSA10_NW_id2,2,3600.0,4500.0,15.0,15.0,60.0,0.68,13.05,12.68
weekend_morning,LSA10,LSA10_NW_id26,26,3600.0,4500.0,3.0,3.0,12.0,0.24,7.57,6.52
weekend_morning,LSA10,LSA10_NW_id27,27,3600.0,4500.0,12.0,12.0,48.0,9.97,4.53,1.18
weekend_morning,LSA10,LSA10_S_id31,31,3600.0,4500.0,11.0,11.0,44.0,11.75,3.69,0.48
weekend_morning,LSA10,LSA10_W_id1,1,3600.0,4500.0,82.0,82.0,328.0,12.62,10.13,4.32
weekend_morning,LSA16,LSA16_E_id10,10,3600.0,4500.0,39.0,39.0,156.0,2.11,11.73,10.47
weekend_morning,LSA16,LSA16_E_id11,11,3600.0,4500.0,20.0,20.0,80.0,1.05,10.67,10.22
weekend_morning,LSA16,LSA16_E_id14,14,3600.0,4500.0,20.0,20.0,80.0,0.82,12.99,12.9
weekend_morning,LSA16,LSA16_Eout_id13,13,3600.0,4500.0,83.0,83.0,332.0,7.3,11.59,6.36
