block_id,start_time,end_time,date,K1,K2,K3,K4,K5,K6,pattern,stage,program,n_seconds,duration_s
83,2026-03-10 08:08:54+01:00,2026-03-10 08:08:54+01:00,2026-03-10,4,2,2,2,2,5,4-2-2-2-2-5,2,3,1,1
84,2026-03-10 08:08:55+01:00,2026-03-10 08:09:01+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,7,7
85,2026-03-10 08:09:02+01:00,2026-03-10 08:09:04+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
86,2026-03-10 08:09:05+01:00,2026-03-10 08:09:07+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
87,2026-03-10 08:09:08+01:00,2026-03-10 08:09:08+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
88,2026-03-10 08:09:09+01:00,2026-03-10 08:09:39+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,31,31
89,2026-03-10 08:09:40+01:00,2026-03-10 08:09:40+01:00,2026-03-10,2,3,2,2,4,2,2-3-2-2-4-2,4,3,1,1
90,2026-03-10 08:09:41+01:00,2026-03-10 08:09:42+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,2,2
91,2026-03-10 08:09:43+01:00,2026-03-10 08:09:43+01:00,2026-03-10,2,2,2,2,3,2,2-2-2-2-3-2,4,3,1,1
92,2026-03-10 08:09:44+01:00,2026-03-10 08:09:46+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
93,2026-03-10 08:09:47+01:00,2026-03-10 08:09:47+01:00,2026-03-10,5,2,2,2,2,2,5-2-2-2-2-2,4,3,1,1
94,2026-03-10 08:09:48+01:00,2026-03-10 08:09:48+01:00,2026-03-10,4,2,5,2,2,2,4-2-5-2-2-2,4,3,1,1
95,2026-03-10 08:09:49+01:00,2026-03-10 08:10:32+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,44,44
96,2026-03-10 08:10:33+01:00,2026-03-10 08:10:35+01:00,2026-03-10,3,2,3,2,2,2,3-2-3-2-2-2,2,3,3,3
97,2026-03-10 08:10:36+01:00,2026-03-10 08:10:38+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,2,3,3,3
98,2026-03-10 08:10:39+01:00,2026-03-10 08:10:39+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,2,3,1,1
99,2026-03-10 08:10:40+01:00,2026-03-10 08:11:08+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,3,3,29,29
100,2026-03-10 08:11:09+01:00,2026-03-10 08:11:11+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
101,2026-03-10 08:11:12+01:00,2026-03-10 08:11:14+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
102,2026-03-10 08:11:15+01:00,2026-03-10 08:11:15+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
103,2026-03-10 08:11:16+01:00,2026-03-10 08:11:22+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,7,7
104,2026-03-10 08:11:23+01:00,2026-03-10 08:11:25+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
105,2026-03-10 08:11:26+01:00,2026-03-10 08:11:28+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
106,2026-03-10 08:11:29+01:00,2026-03-10 08:11:29+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
107,2026-03-10 08:11:30+01:00,2026-03-10 08:11:50+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,21,21
108,2026-03-10 08:11:51+01:00,2026-03-10 08:11:53+01:00,2026-03-10,4,2,3,2,2,2,4-2-3-2-2-2,2,3,3,3
109,2026-03-10 08:11:54+01:00,2026-03-10 08:11:54+01:00,2026-03-10,4,2,2,2,2,5,4-2-2-2-2-5,2,3,1,1
110,2026-03-10 08:11:55+01:00,2026-03-10 08:12:08+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,14,14
111,2026-03-10 08:12:09+01:00,2026-03-10 08:12:11+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
112,2026-03-10 08:12:12+01:00,2026-03-10 08:12:14+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
113,2026-03-10 08:12:15+01:00,2026-03-10 08:12:15+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
114,2026-03-10 08:12:16+01:00,2026-03-10 08:12:36+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,21,21
115,2026-03-10 08:12:37+01:00,2026-03-10 08:12:39+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
116,2026-03-10 08:12:40+01:00,2026-03-10 08:12:42+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
117,2026-03-10 08:12:43+01:00,2026-03-10 08:12:43+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
118,2026-03-10 08:12:44+01:00,2026-03-10 08:12:52+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,9,9
119,2026-03-10 08:12:53+01:00,2026-03-10 08:12:55+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
120,2026-03-10 08:12:56+01:00,2026-03-10 08:12:58+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
121,2026-03-10 08:12:59+01:00,2026-03-10 08:12:59+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
122,2026-03-10 08:13:00+01:00,2026-03-10 08:13:32+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,33,33
123,2026-03-10 08:13:33+01:00,2026-03-10 08:13:35+01:00,2026-03-10,3,2,3,2,2,2,3-2-3-2-2-2,2,3,3,3
124,2026-03-10 08:13:36+01:00,2026-03-10 08:13:38+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,2,3,3,3
125,2026-03-10 08:13:39+01:00,2026-03-10 08:13:39+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,2,3,1,1
126,2026-03-10 08:13:40+01:00,2026-03-10 08:14:01+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,3,3,22,22
127,2026-03-10 08:14:02+01:00,2026-03-10 08:14:04+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
128,2026-03-10 08:14:05+01:00,2026-03-10 08:14:07+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
129,2026-03-10 08:14:08+01:00,2026-03-10 08:14:08+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
