intersection,date,begin_s,end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
LD-LSA1,2026-03-22,60300,61200,8,LSA1_W_id8,West,,,,,,95,18.0,0.0
LD-LSA1,2026-03-22,60300,61200,9,LSA1_W_id9,West,,,,,,106,42.0,0.0
LD-LSA1,2026-03-22,60300,61200,10,LSA1_W_id10,West,,,,,,132,19.0,0.0
LD-LSA1,2026-03-22,60300,61200,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-22,60300,61200,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-22,60300,61200,13,LSA1_E_id13,East,,,,,,48,37.0,0.0
LD-LSA1,2026-03-22,60300,61200,14,LSA1_E_id14,East,,,,,,100,17.0,0.0
LD-LSA1,2026-03-22,60300,61200,23,LSA1_E_id23,East,,,,,,53,42.0,0.0
LD-LSA1,2026-03-22,60300,61200,24,LSA1_E_id24,East,,,,,,88,11.0,0.0
LD-LSA1,2026-03-22,60300,61200,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,60300,61200,26,LSA1_E_id26,East,,,,,,40,3.0,0.0
LD-LSA1,2026-03-22,60300,61200,27,LSA1_E_id27,East,,,,,,40,16.0,0.0
LD-LSA1,2026-03-22,60300,61200,28,LSA1_N_id28,North,,,,,,5,9.0,0.0
LD-LSA1,2026-03-22,60300,61200,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,60300,61200,30,LSA1_N_id30,North,,,,,,40,44.0,0.0
LD-LSA1,2026-03-22,60300,61200,39,LSA1_N_id39,North,,,,,,52,20.0,0.0
LD-LSA1,2026-03-22,60300,61200,40,LSA1_N_id40,North,,,,,,32,24.0,0.0
LD-LSA10,2026-03-22,60300,61200,1,LSA10_W_id1,West,,,,,,87,44.0,0.0
LD-LSA10,2026-03-22,60300,61200,2,LSA10_NW_id2,North-West,,,,,,37,29.0,0.0
LD-LSA10,2026-03-22,60300,61200,3,LSA10_E_id3,East,,,,,,65,36.0,0.0
LD-LSA10,2026-03-22,60300,61200,4,LSA10_E_id4,East,,,,,,35,8.0,0.0
LD-LSA10,2026-03-22,60300,61200,26,LSA10_NW_id26,North-West,,,,,,7,26.0,0.0
LD-LSA10,2026-03-22,60300,61200,27,LSA10_NW_id27,North-West,,,,,,15,66.0,0.0
LD-LSA10,2026-03-22,60300,61200,29,LSA10_NE_id29,North-East,,,,,,4,5.0,0.0
LD-LSA10,2026-03-22,60300,61200,31,LSA10_S_id31,South,,,,,,12,24.0,0.0
LD-LSA16,2026-03-22,60300,61200,1,LSA16_S_id1,South,,,,,,36,18.0,0.0
LD-LSA16,2026-03-22,60300,61200,2,LSA16_S_id2,South,,,,,,19,18.0,0.0
LD-LSA16,2026-03-22,60300,61200,3,LSA16_W_id3,West,,,,,,51,51.0,0.0
LD-LSA16,2026-03-22,60300,61200,4,LSA16_W_id4,West,,,,,,7,15.0,0.0
LD-LSA16,2026-03-22,60300,61200,5,LSA16_W_id5,West,,,,,,47,42.0,0.0
LD-LSA16,2026-03-22,60300,61200,6,LSA16_N_id6,North,,,,,,13,4.0,0.0
LD-LSA16,2026-03-22,60300,61200,7,LSA16_N_id7,North,,,,,,38,21.0,0.0
LD-LSA16,2026-03-22,60300,61200,10,LSA16_E_id10,East,,,,,,66,32.0,0.0
LD-LSA16,2026-03-22,60300,61200,11,LSA16_E_id11,East,,,,,,33,16.0,0.0
LD-LSA16,2026-03-22,60300,61200,13,LSA16_Eout_id13,East-Exit,,,,,,95,20.0,0.0
LD-LSA16,2026-03-22,60300,61200,15,LSA16_Wout_id15,West-Exit,,,,,,82,20.0,0.0
LD-LSA16,2026-03-22,60300,61200,33,LSA16_S_id33,South,,,,,,21,13.0,0.0
LD-LSA9,2026-03-22,60300,61200,1,LSA9_W_id1,West,,,,,,51,62.0,0.0
LD-LSA9,2026-03-22,60300,61200,2,LSA9_W_id2,West,,,,,,80,57.0,0.0
LD-LSA9,2026-03-22,60300,61200,3,,North-East,,,,,,9,5.0,0.0
LD-LSA9,2026-03-22,60300,61200,4,LSA9_WE_id4,North-West,,,,,,11,42.0,0.0
LD-LSA9,2026-03-22,60300,61200,5,LSA9_WE_id5,North-West,,,,,,9,39.0,0.0
LD-LSA9,2026-03-22,60300,61200,6,LSA9_WE_id6,North-West,,,,,,19,30.0,0.0
LD-LSA9,2026-03-22,60300,61200,7,LSA9_WE_id7,North-West,,,,,,13,11.0,0.0
LD-LSA9,2026-03-22,60300,61200,8,LSA9_E_id8,East,,,,,,79,41.0,0.0
LD-LSA9,2026-03-22,60300,61200,9,LSA9_E_id9,East,,,,,,36,19.0,0.0
LD-LSA9,2026-03-22,60300,61200,10,,South,,,,,,6,1.0,0.0
LD-LSA9,2026-03-22,60300,61200,11,,Middle,,,,,,32,22.0,0.0
