intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
LD-LSA10,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,26,LSA10_NW_id26,North-West,,,,,,5,31,0
LD-LSA10,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,27,LSA10_NW_id27,North-West,,,,,,14,52,0
LD-LSA10,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,29,LSA10_NE_id29,North-East,,,,,,7,5,0
LD-LSA10,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,31,LSA10_S_id31,South,,,,,,14,21,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,1,LSA16_S_id1,South,,,,,,37,18,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,2,LSA16_S_id2,South,,,,,,14,8,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,3,LSA16_W_id3,West,,,,,,49,48,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,4,LSA16_W_id4,West,,,,,,9,21,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,5,LSA16_W_id5,West,,,,,,53,32,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,6,LSA16_N_id6,North,,,,,,4,0,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,7,LSA16_N_id7,North,,,,,,38,23,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,10,LSA16_E_id10,East,,,,,,37,11,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,11,LSA16_E_id11,East,,,,,,26,8,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,13,LSA16_Eout_id13,East-Exit,,,,,,96,13,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,15,LSA16_Wout_id15,West-Exit,,,,,,47,4,0
LD-LSA16,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,33,LSA16_S_id33,South,,,,,,22,9,0
