date,timestamp,intersection,detector_id,detector_name,sumo_id,approach,json_start,json_end,intervalMilliseconds,intervalLength,count,occupancy,speed,count_min,count_max,count_avg,count_std,occupancy_min,occupancy_max,occupancy_avg,speed_min,speed_max,speed_avg,count_samples_included,count_samples_expected,count_samples_invalid,occupancy_samples_included,occupancy_samples_expected,occupancy_samples_invalid,speed_samples_included,speed_samples_expected,speed_samples_invalid,confidence,idStr
2026-03-25,2026-03-25 06:45:00+00:00,LD-LSA10,29,WD32,LSA10_NE_id29,North-East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,23,11,0,23,23,23,0,11,11,11,0,0,0,1,1,0,1,1,0,1,1,0,100,29
2026-03-25,2026-03-25 06:45:00+00:00,LD-LSA10,31,WD52,LSA10_S_id31,South,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,25,73,0,25,25,25,0,73,73,73,0,0,0,1,1,0,1,1,0,1,1,0,100,31
2026-03-25,2026-03-25 07:00:00+00:00,LD-LSA10,1,VD11,LSA10_W_id1,West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,68,63,0,68,68,68,0,63,63,63,0,0,0,1,1,0,1,1,0,1,1,0,100,1
2026-03-25,2026-03-25 07:00:00+00:00,LD-LSA10,2,VD25,LSA10_NW_id2,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,44,48,0,44,44,44,0,48,48,48,0,0,0,1,1,0,1,1,0,1,1,0,100,2
2026-03-25,2026-03-25 07:00:00+00:00,LD-LSA10,3,VD41,LSA10_E_id3,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,71,43,0,71,71,71,0,43,43,43,0,0,0,1,1,0,1,1,0,1,1,0,100,3
2026-03-25,2026-03-25 07:00:00+00:00,LD-LSA10,4,VD42,LSA10_E_id4,East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,49,21,0,49,49,49,0,21,21,21,0,0,0,1,1,0,1,1,0,1,1,0,100,4
2026-03-25,2026-03-25 07:00:00+00:00,LD-LSA10,26,WD23,LSA10_NW_id26,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,16,37,0,16,16,16,0,37,37,37,0,0,0,1,1,0,1,1,0,1,1,0,100,26
2026-03-25,2026-03-25 07:00:00+00:00,LD-LSA10,27,WD24,LSA10_NW_id27,North-West,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,21,66,0,21,21,21,0,66,66,66,0,0,0,1,1,0,1,1,0,1,1,0,100,27
2026-03-25,2026-03-25 07:00:00+00:00,LD-LSA10,29,WD32,LSA10_NE_id29,North-East,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,20,11,0,20,20,20,0,11,11,11,0,0,0,1,1,0,1,1,0,1,1,0,100,29
2026-03-25,2026-03-25 07:00:00+00:00,LD-LSA10,31,WD52,LSA10_S_id31,South,2026-03-25T00:00:00+00:00,2026-03-25T23:59:59.001+00:00,900,,24,58,0,24,24,24,0,58,58,58,0,0,0,1,1,0,1,1,0,1,1,0,100,31
