timestamp,west_left_upstream,west_straight_right_upstream,west_total_upstream,west_left_stopline,west_straight_right_stopline,west_total_stopline_check,south_straight_failed,south_straight_alt_failed,south_total_failed_check,east_left_upstream,east_straight_upstream,east_straight_right_upstream,east_right_inferred_upstream,east_total_upstream,east_right_stopline,east_straight1_stopline,east_straight2_stopline,east_left_stopline_failed,east_straight_total_stopline_check,east_total_stopline_check,north_left_upstream,north_left_stopline,north_straight_stopline,north_right_stopline,north_straight_right_failed,north_total_mixed,north_total_stopline_check
2025-09-06 15:45:00+00:00,77,121,198,44,119,163,0,0,0,21,84,115,31,136,57,37,44,0,81,138,65,54,15,42,0,122,111
2025-09-06 16:00:00+00:00,95,128,223,41,125,166,0,0,0,22,102,114,12,136,49,34,61,0,95,144,63,54,10,33,0,106,97
2025-09-06 16:15:00+00:00,73,107,180,56,100,156,0,0,0,27,88,107,19,134,45,37,77,0,114,159,57,46,12,52,0,121,110
2025-09-06 16:30:00+00:00,79,114,193,47,104,151,0,0,0,24,83,112,29,136,51,40,56,0,96,147,70,45,15,37,0,122,97
2025-09-06 16:45:00+00:00,80,88,168,38,77,115,0,0,0,21,74,103,29,124,54,44,47,0,91,145,56,52,16,38,0,110,106
2025-09-06 17:00:00+00:00,88,86,174,51,78,129,0,0,0,25,77,89,12,114,33,34,49,0,83,116,59,52,7,23,0,89,82
2025-09-06 17:15:00+00:00,86,94,180,40,83,123,0,0,0,16,68,99,31,115,47,35,46,0,81,128,60,49,16,29,0,105,94
2025-09-06 17:30:00+00:00,82,80,162,41,61,102,0,0,0,25,70,81,11,106,32,22,42,0,64,96,61,83,12,32,0,105,127
2025-09-06 17:45:00+00:00,67,74,141,32,68,100,0,0,0,17,73,99,26,116,49,37,50,0,87,136,41,35,13,32,0,86,80
2025-09-06 18:00:00+00:00,80,87,167,40,81,121,0,0,0,20,73,89,16,109,45,33,39,0,72,117,53,38,8,36,0,97,82
2025-09-06 18:15:00+00:00,74,82,156,29,69,98,0,0,0,18,60,80,20,98,46,22,33,0,55,101,39,32,12,28,0,79,72
2025-09-06 18:30:00+00:00,82,100,182,41,94,135,0,0,0,22,55,83,28,105,41,26,29,0,55,96,52,39,16,39,0,107,94
2025-09-06 18:45:00+00:00,63,68,131,35,52,87,0,0,0,15,44,79,35,94,33,33,22,0,55,88,53,44,15,37,0,105,96
2025-09-06 19:00:00+00:00,65,65,130,23,52,75,0,0,0,13,53,54,1,67,36,11,22,0,33,69,54,39,10,29,0,93,78
2025-09-06 19:15:00+00:00,59,59,118,27,46,73,0,0,0,16,53,57,4,73,27,20,28,0,48,75,32,27,14,33,0,79,74
2025-09-06 19:30:00+00:00,68,66,134,23,63,86,0,0,0,8,45,61,16,69,23,22,22,0,44,67,51,41,6,30,0,87,77
2025-09-06 19:45:00+00:00,63,65,128,21,64,85,0,0,0,12,54,71,17,83,19,32,33,0,65,84,37,33,8,32,0,77,73
2025-09-06 20:00:00+00:00,70,83,153,18,79,97,0,0,0,11,64,82,18,93,18,39,45,0,84,102,36,30,10,28,0,74,68
2025-09-06 20:15:00+00:00,63,63,126,26,51,77,0,0,0,13,49,75,26,88,32,34,33,0,67,99,32,22,7,28,0,67,57
2025-09-06 20:30:00+00:00,57,61,118,16,58,74,0,0,0,13,48,63,15,76,19,30,28,0,58,77,32,30,2,23,0,57,55
2025-09-06 20:45:00+00:00,47,50,97,12,46,58,0,0,0,13,54,63,9,76,26,23,28,0,51,77,26,17,4,17,0,47,38
2025-09-06 21:00:00+00:00,38,39,77,5,34,39,0,0,0,13,46,56,10,69,24,17,21,0,38,62,16,15,2,9,0,27,26
2025-09-06 21:15:00+00:00,46,45,91,14,40,54,0,0,0,9,32,35,3,44,16,16,14,0,30,46,35,28,2,14,0,51,44
2025-09-06 21:30:00+00:00,42,46,88,12,42,54,0,0,0,14,42,44,2,58,12,21,23,0,44,56,28,19,2,14,0,44,35
2025-09-06 21:45:00+00:00,37,32,69,9,26,35,0,0,0,11,45,51,6,62,20,17,28,0,45,65,24,18,5,9,0,38,32
