intersection,timestamp,detector_id,count,occupancy,velocity
LDLSA16,2025-09-18 18:30:00+00:00,1,27,10,0
LDLSA16,2025-09-18 18:30:00+00:00,2,15,3,0
LDLSA16,2025-09-18 18:30:00+00:00,3,40,40,0
LDLSA16,2025-09-18 18:30:00+00:00,4,6,6,0
LDLSA16,2025-09-18 18:30:00+00:00,5,38,20,0
LDLSA16,2025-09-18 18:30:00+00:00,6,6,0,0
LDLSA16,2025-09-18 18:30:00+00:00,7,26,23,0
LDLSA16,2025-09-18 18:30:00+00:00,8,48,25,0
LDLSA16,2025-09-18 18:30:00+00:00,9,39,21,0
LDLSA16,2025-09-18 18:30:00+00:00,10,40,15,0
LDLSA16,2025-09-18 18:30:00+00:00,11,35,12,0
LDLSA16,2025-09-18 18:30:00+00:00,12,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,13,73,19,0
LDLSA16,2025-09-18 18:30:00+00:00,14,63,9,0
LDLSA16,2025-09-18 18:30:00+00:00,15,54,12,0
LDLSA16,2025-09-18 18:30:00+00:00,16,2,0,0
LDLSA16,2025-09-18 18:30:00+00:00,17,2,0,0
LDLSA16,2025-09-18 18:30:00+00:00,18,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,19,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,20,2,0,0
LDLSA16,2025-09-18 18:30:00+00:00,21,7,0,0
LDLSA16,2025-09-18 18:30:00+00:00,22,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,23,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,24,0,100,0
LDLSA16,2025-09-18 18:30:00+00:00,25,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,26,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,27,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,28,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,29,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,30,0,0,0
LDLSA16,2025-09-18 18:30:00+00:00,31,5,0,0
LDLSA16,2025-09-18 18:30:00+00:00,32,3,0,0
