timestamp,west_left,west_straight,west_right,west_total,east_total,north_total,south_total,corridor_out
2025-09-06 09:30:00+00:00,7,52,0,59,122,41,81,105
2025-09-06 09:45:00+00:00,14,65,0,79,137,55,110,126
2025-09-06 10:00:00+00:00,8,65,0,73,113,60,111,122
2025-09-06 10:15:00+00:00,9,63,0,72,132,38,120,117
2025-09-06 10:30:00+00:00,6,45,3,54,127,58,95,120
2025-09-06 10:45:00+00:00,9,64,0,73,128,44,85,118
2025-09-06 11:00:00+00:00,9,47,1,57,143,54,75,112
2025-09-06 11:15:00+00:00,6,67,0,73,110,39,83,127
2025-09-06 11:30:00+00:00,6,52,0,58,115,45,97,105
2025-09-06 11:45:00+00:00,11,71,0,82,107,46,104,119
2025-09-06 12:00:00+00:00,10,30,11,51,133,47,104,106
2025-09-06 12:15:00+00:00,6,55,2,63,142,57,96,129
2025-09-06 12:30:00+00:00,7,57,0,64,120,42,87,116
2025-09-06 12:45:00+00:00,13,66,0,79,127,52,95,130
2025-09-06 13:00:00+00:00,5,54,0,59,129,42,94,105
2025-09-06 13:15:00+00:00,5,68,0,73,128,43,95,119
2025-09-06 13:30:00+00:00,5,51,0,56,118,50,86,111
2025-09-06 13:45:00+00:00,10,69,0,79,118,55,100,131
2025-09-06 14:00:00+00:00,7,73,0,80,120,41,73,104
2025-09-06 14:15:00+00:00,5,46,0,51,128,50,69,87
2025-09-06 14:30:00+00:00,4,53,0,57,120,47,81,113
2025-09-06 14:45:00+00:00,5,44,7,56,103,39,98,117
2025-09-06 15:00:00+00:00,7,61,0,68,116,37,84,110
2025-09-06 15:15:00+00:00,12,66,0,78,102,51,69,110
2025-09-06 15:30:00+00:00,9,52,0,61,117,48,83,104
2025-09-06 15:45:00+00:00,9,59,0,68,111,32,87,108
2025-09-06 16:00:00+00:00,4,51,0,55,111,44,91,105
2025-09-06 16:15:00+00:00,7,67,0,74,87,30,71,114
2025-09-06 16:30:00+00:00,8,48,0,56,106,36,83,93
2025-09-06 16:45:00+00:00,5,47,0,52,88,39,95,105
2025-09-06 17:00:00+00:00,7,42,0,49,83,42,80,96
2025-09-06 17:15:00+00:00,5,51,0,56,76,23,74,96
2025-09-06 17:30:00+00:00,5,35,0,40,63,34,105,76
2025-09-06 17:45:00+00:00,11,42,0,53,93,34,86,89
