scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent
weekday_morning,LSA10,west,K1,0.0,900.0,1,00-15,131.0,524.0,45.2,1,524.0
weekday_morning,LSA10,west,K1,900.0,1800.0,2,15-30,126.0,504.0,31.56,1,504.0
weekday_morning,LSA10,west,K1,1800.0,2700.0,3,30-45,103.0,412.0,18.29,1,412.0
weekday_morning,LSA10,west,K1,2700.0,3600.0,4,45-60,108.0,432.0,10.11,1,432.0
weekday_morning,LSA16,east,K4,0.0,900.0,1,00-15,80.0,160.0,3.165,2,320.0
weekday_morning,LSA16,east,K4,900.0,1800.0,2,15-30,100.0,200.0,9.225,2,400.0
weekday_morning,LSA16,east,K4,1800.0,2700.0,3,30-45,115.0,230.0,17.095,2,460.0
weekday_morning,LSA16,east,K4,2700.0,3600.0,4,45-60,102.0,202.0,18.64,2,408.0
weekday_morning,LSA16,north,K3,0.0,900.0,1,00-15,35.0,70.0,2.555,2,140.0
weekday_morning,LSA16,north,K3,900.0,1800.0,2,15-30,27.0,54.0,0.55,2,108.0
weekday_morning,LSA16,north,K3,1800.0,2700.0,3,30-45,49.0,98.0,1.1949999999999998,2,196.0
weekday_morning,LSA16,north,K3,2700.0,3600.0,4,45-60,41.0,82.0,4.7299999999999995,2,164.0
weekday_morning,LSA16,south,K1,0.0,900.0,1,00-15,107.0,142.66666666666666,10.463333333333333,3,428.0
weekday_morning,LSA16,south,K1,900.0,1800.0,2,15-30,89.0,118.66666666666667,9.006666666666666,3,356.0
weekday_morning,LSA16,south,K1,1800.0,2700.0,3,30-45,87.0,116.0,3.9433333333333334,3,348.0
weekday_morning,LSA16,south,K1,2700.0,3600.0,4,45-60,96.0,126.66666666666667,8.273333333333332,3,384.0
weekday_morning,LSA16,west,K2,0.0,900.0,1,00-15,92.0,180.0,40.315,2,368.0
weekday_morning,LSA16,west,K2,900.0,1800.0,2,15-30,100.0,200.0,45.7,2,400.0
weekday_morning,LSA16,west,K2,1800.0,2700.0,3,30-45,81.0,166.0,40.625,2,324.0
weekday_morning,LSA16,west,K2,2700.0,3600.0,4,45-60,74.0,146.0,40.474999999999994,2,296.0
weekday_morning,LSA9,east,K3,0.0,900.0,1,00-15,134.0,268.0,32.105,2,536.0
weekday_morning,LSA9,east,K3,900.0,1800.0,2,15-30,144.0,282.0,23.065,2,576.0
weekday_morning,LSA9,east,K3,1800.0,2700.0,3,30-45,133.0,262.0,20.915,2,532.0
weekday_morning,LSA9,east,K3,2700.0,3600.0,4,45-60,130.0,254.0,15.34,2,520.0
weekday_morning,LSA9,north_west,K2,0.0,900.0,1,00-15,23.0,42.0,30.509999999999998,2,92.0
weekday_morning,LSA9,north_west,K2,900.0,1800.0,2,15-30,22.0,44.0,26.485,2,88.0
weekday_morning,LSA9,north_west,K2,1800.0,2700.0,3,30-45,27.0,54.0,31.714999999999996,2,108.0
weekday_morning,LSA9,north_west,K2,2700.0,3600.0,4,45-60,24.0,46.0,24.615000000000002,2,96.0
weekday_morning,LSA9,south,K4,0.0,900.0,1,00-15,1.0,4.0,10.16,1,4.0
weekday_morning,LSA9,south,K4,900.0,1800.0,2,15-30,1.0,4.0,0.06,1,4.0
weekday_morning,LSA9,south,K4,1800.0,2700.0,3,30-45,2.0,8.0,9.88,1,8.0
weekday_morning,LSA9,south,K4,2700.0,3600.0,4,45-60,5.0,16.0,18.73,1,20.0
