scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent,cycle_time_s,green_time_s,green_share,demand_vph,capacity_vph,v_c_ratio,status,comparison_note
weekday_evening,LSA9,south,K4,2700.0,3600.0,4,45-60,11.0,44.0,25.97,1,44.0,137.0,25.0,0.1824817518248175,44.0,328.4671532846715,0.13395555555555558,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,west,K1,0.0,900.0,1,00-15,112.0,220.0,74.32499999999999,2,448.0,137.0,40.0,0.291970802919708,448.0,525.5474452554744,0.8524444444444446,near capacity,usable for simulation saturation comparison
weekday_evening,LSA9,west,K1,900.0,1800.0,2,15-30,103.0,208.0,76.465,2,412.0,137.0,40.0,0.291970802919708,412.0,525.5474452554744,0.7839444444444446,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,west,K1,1800.0,2700.0,3,30-45,97.0,194.0,77.925,2,388.0,137.0,40.0,0.291970802919708,388.0,525.5474452554744,0.7382777777777779,below capacity,usable for simulation saturation comparison
weekday_evening,LSA9,west,K1,2700.0,3600.0,4,45-60,65.0,128.0,63.505,2,260.0,137.0,40.0,0.291970802919708,260.0,525.5474452554744,0.4947222222222223,below capacity,usable for simulation saturation comparison
weekday_morning,LSA1,east,K4,0.0,900.0,1,00-15,119.0,236.0,43.08,2,476.0,82.0,33.0,0.4024390243902439,476.0,724.3902439024391,0.657104377104377,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K4,900.0,1800.0,2,15-30,119.0,234.0,40.885000000000005,2,476.0,82.0,33.0,0.4024390243902439,476.0,724.3902439024391,0.657104377104377,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K4,1800.0,2700.0,3,30-45,102.0,202.0,39.28,2,408.0,82.0,33.0,0.4024390243902439,408.0,724.3902439024391,0.5632323232323232,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K4,2700.0,3600.0,4,45-60,109.0,218.0,37.8,2,436.0,82.0,33.0,0.4024390243902439,436.0,724.3902439024391,0.6018855218855218,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,east,K5,0.0,900.0,1,00-15,40.0,160.0,3.59,1,160.0,82.0,9.0,0.1097560975609756,160.0,197.56097560975607,0.8098765432098767,below capacity,simulation-side only; no direct real saturation comparison
