scenario,lsa,approach,signal_group,total_sim_count_1h,mean_15min_count,max_15min_count,mean_demand_vph,max_demand_vph,cycle_time_s,green_time_s,green_share,capacity_vph,mean_v_c_ratio,max_v_c_ratio,n_bins,n_detectors_used,mean_status,max_status,comparison_note
weekend_morning,LSA1,south,K3,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,,,4,1,not calculated,not calculated,simulation-side only; no direct real saturation comparison
weekend_morning,LSA1,west,K1,92.0,23.0,24.0,92.0,96.0,82.0,5.0,0.0609756097560975,109.75609756097548,0.8382222222222231,0.8746666666666676,4,1,below capacity,near capacity,simulation-side only; no direct real saturation comparison
weekend_morning,LSA1,west,K2,334.0,83.5,98.0,334.0,392.0,82.0,30.0,0.3658536585365853,658.5365853658535,0.5071851851851853,0.5952592592592594,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekend_morning,LSA10,east,K4,320.0,80.0,87.0,320.0,348.0,94.0,45.0,0.4787234042553192,861.7021276595746,0.371358024691358,0.4038518518518518,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA10,north_east,K3,30.0,7.5,11.0,30.0,44.0,94.0,16.0,0.1702127659574468,306.3829787234042,0.09791666666666662,0.1436111111111111,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA10,north_west,K2,71.0,17.75,25.0,71.0,100.0,94.0,16.0,0.1702127659574468,306.3829787234042,0.23173611111111111,0.3263888888888889,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA10,south,K5,48.0,12.0,14.0,48.0,56.0,94.0,10.0,0.1063829787234042,191.48936170212755,0.2506666666666668,0.2924444444444446,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA10,west,K1,302.0,75.5,82.0,302.0,328.0,94.0,45.0,0.4787234042553192,861.7021276595746,0.3504691358024691,0.3806419753086419,4,1,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA16,east,K4,257.0,64.25,72.0,257.0,288.0,86.0,41.0,0.4767441860465116,858.1395348837209,0.29948509485094854,0.335609756097561,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA16,north,K3,134.0,33.5,42.0,134.0,168.0,86.0,32.0,0.3720930232558139,669.767441860465,0.2000694444444444,0.2508333333333333,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA16,south,K1,308.0,77.0,87.0,308.0,348.0,86.0,32.0,0.3720930232558139,669.767441860465,0.45986111111111116,0.5195833333333334,4,3,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA16,west,K2,205.0,51.25,56.0,205.0,224.0,86.0,25.0,0.2906976744186046,523.2558139534883,0.3917777777777778,0.4280888888888889,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA9,east,K3,387.0,96.75,103.0,387.0,412.0,175.0,100.0,0.5714285714285714,1028.5714285714284,0.37625000000000003,0.4005555555555556,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA9,north_west,K2,96.0,24.0,30.0,96.0,120.0,175.0,45.0,0.2571428571428571,462.8571428571428,0.20740740740740737,0.2592592592592593,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekend_morning,LSA9,south,K4,4.0,1.0,3.0,4.0,12.0,175.0,0.0,0.0,0.0,,,4,1,not calculated,not calculated,usable for simulation saturation comparison
weekend_morning,LSA9,west,K1,425.0,106.25,119.0,425.0,476.0,175.0,92.0,0.5257142857142857,946.2857142857142,0.4491243961352657,0.5030193236714976,4,2,below capacity,below capacity,usable for simulation saturation comparison
