scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,analysis_begin_s,analysis_end_s,bin_no,bin_label,approach,movement,signal_group
weekday_morning,LSA9,LSA9_S_id10,10,3600.0,4500.0,5.0,4.0,16.0,18.73,1.3,0.13,2700.0,3600.0,4,45-60,south,multi_movement,K4
weekday_morning,LSA9,LSA9_WE_id4,4,3600.0,4500.0,8.0,8.0,32.0,20.75,2.04,0.22,2700.0,3600.0,4,45-60,north_west,straight_right,K2
weekday_morning,LSA9,LSA9_WE_id5,5,3600.0,4500.0,16.0,15.0,60.0,28.48,2.78,0.28,2700.0,3600.0,4,45-60,north_west,movement,K2
weekday_morning,LSA9,LSA9_W_id1,1,3600.0,4500.0,69.0,69.0,276.0,19.57,7.96,2.12,2700.0,3600.0,4,45-60,west,straight_right,K1
weekday_morning,LSA9,LSA9_W_id2,2,3600.0,4500.0,61.0,59.0,236.0,43.2,7.04,0.78,2700.0,3600.0,4,45-60,west,straight_left,K1
weekday_evening,LSA10,LSA10_E_id3,3,900.0,1800.0,61.0,61.0,244.0,12.98,9.61,2.53,0.0,900.0,1,00-15,east,straight_right,K4
weekday_evening,LSA10,LSA10_E_id4,4,900.0,1800.0,71.0,69.0,276.0,20.21,9.63,1.89,0.0,900.0,1,00-15,east,straight,K4
weekday_evening,LSA10,LSA10_NE_id29,29,900.0,1800.0,6.0,6.0,24.0,3.9,4.5,0.77,0.0,900.0,1,00-15,north_east,right,K3
weekday_evening,LSA10,LSA10_NW_id26,26,900.0,1800.0,3.0,3.0,12.0,0.22,7.72,6.89,0.0,900.0,1,00-15,north_west,straight_right,K2
weekday_evening,LSA10,LSA10_NW_id27,27,900.0,1800.0,25.0,24.0,96.0,29.11,4.92,0.53,0.0,900.0,1,00-15,north_west,left,K2
weekday_evening,LSA10,LSA10_S_id31,31,900.0,1800.0,20.0,21.0,84.0,18.02,4.26,0.54,0.0,900.0,1,00-15,south,multi_movement,K5
weekday_evening,LSA10,LSA10_W_id1,1,900.0,1800.0,122.0,122.0,488.0,19.71,9.91,3.5,0.0,900.0,1,00-15,west,straight_right,K1
weekday_evening,LSA16,LSA16_E_id10,10,900.0,1800.0,83.0,82.0,328.0,21.34,8.1,2.26,0.0,900.0,1,00-15,east,straight_right,K4
