block_id,start_time,end_time,date,K1,K2,K3,K4,pattern,stage,program,n_seconds,duration_s
150,2026-03-10 08:16:45+01:00,2026-03-10 08:16:50+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,6,6
151,2026-03-10 08:16:51+01:00,2026-03-10 08:16:51+01:00,2026-03-10,2,2,2,5,2-2-2-5,3,3,1,1
152,2026-03-10 08:16:52+01:00,2026-03-10 08:17:02+01:00,2026-03-10,2,2,2,4,2-2-2-4,3,3,11,11
153,2026-03-10 08:17:03+01:00,2026-03-10 08:17:05+01:00,2026-03-10,2,2,2,3,2-2-2-3,4,3,3,3
154,2026-03-10 08:17:06+01:00,2026-03-10 08:17:11+01:00,2026-03-10,2,2,2,2,2-2-2-2,4,3,6,6
155,2026-03-10 08:17:12+01:00,2026-03-10 08:17:12+01:00,2026-03-10,5,2,5,2,5-2-5-2,4,3,1,1
156,2026-03-10 08:17:13+01:00,2026-03-10 08:17:39+01:00,2026-03-10,4,2,4,2,4-2-4-2,4,3,27,27
157,2026-03-10 08:17:40+01:00,2026-03-10 08:17:42+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
158,2026-03-10 08:17:43+01:00,2026-03-10 08:17:56+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,14,14
159,2026-03-10 08:17:57+01:00,2026-03-10 08:17:59+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
160,2026-03-10 08:18:00+01:00,2026-03-10 08:18:02+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
161,2026-03-10 08:18:03+01:00,2026-03-10 08:18:03+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
162,2026-03-10 08:18:04+01:00,2026-03-10 08:18:21+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,18,18
163,2026-03-10 08:18:22+01:00,2026-03-10 08:18:24+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
164,2026-03-10 08:18:25+01:00,2026-03-10 08:18:26+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,2,2
165,2026-03-10 08:18:27+01:00,2026-03-10 08:18:27+01:00,2026-03-10,2,2,5,2,2-2-5-2,3,3,1,1
166,2026-03-10 08:18:28+01:00,2026-03-10 08:18:31+01:00,2026-03-10,2,2,4,2,2-2-4-2,3,3,4,4
167,2026-03-10 08:18:32+01:00,2026-03-10 08:18:32+01:00,2026-03-10,5,2,4,2,5-2-4-2,3,3,1,1
168,2026-03-10 08:18:33+01:00,2026-03-10 08:19:13+01:00,2026-03-10,4,2,4,2,4-2-4-2,3,3,41,41
169,2026-03-10 08:19:14+01:00,2026-03-10 08:19:16+01:00,2026-03-10,3,2,3,2,3-2-3-2,1,3,3,3
170,2026-03-10 08:19:17+01:00,2026-03-10 08:19:21+01:00,2026-03-10,2,2,2,2,2-2-2-2,1,3,5,5
171,2026-03-10 08:19:22+01:00,2026-03-10 08:19:22+01:00,2026-03-10,2,5,2,2,2-5-2-2,1,3,1,1
172,2026-03-10 08:19:23+01:00,2026-03-10 08:19:41+01:00,2026-03-10,2,4,2,2,2-4-2-2,1,3,19,19
173,2026-03-10 08:19:42+01:00,2026-03-10 08:19:44+01:00,2026-03-10,2,3,2,2,2-3-2-2,3,3,3,3
174,2026-03-10 08:19:45+01:00,2026-03-10 08:19:50+01:00,2026-03-10,2,2,2,2,2-2-2-2,3,3,6,6
175,2026-03-10 08:19:51+01:00,2026-03-10 08:19:51+01:00,2026-03-10,2,2,2,5,2-2-2-5,3,3,1,1
176,2026-03-10 08:19:52+01:00,2026-03-10 08:20:02+01:00,2026-03-10,2,2,2,4,2-2-2-4,3,3,11,11
177,2026-03-10 08:20:03+01:00,2026-03-10 08:20:05+01:00,2026-03-10,2,2,2,3,2-2-2-3,4,3,3,3
178,2026-03-10 08:20:06+01:00,2026-03-10 08:20:11+01:00,2026-03-10,2,2,2,2,2-2-2-2,4,3,6,6
179,2026-03-10 08:20:12+01:00,2026-03-10 08:20:12+01:00,2026-03-10,5,2,5,2,5-2-5-2,4,3,1,1
180,2026-03-10 08:20:13+01:00,2026-03-10 08:20:39+01:00,2026-03-10,4,2,4,2,4-2-4-2,4,3,27,27
181,2026-03-10 08:20:40+01:00,2026-03-10 08:20:42+01:00,2026-03-10,4,2,3,2,4-2-3-2,1,3,3,3
182,2026-03-10 08:20:43+01:00,2026-03-10 08:20:57+01:00,2026-03-10,4,2,2,2,4-2-2-2,1,3,15,15
183,2026-03-10 08:20:58+01:00,2026-03-10 08:21:00+01:00,2026-03-10,3,2,2,2,3-2-2-2,2,3,3,3
184,2026-03-10 08:21:01+01:00,2026-03-10 08:21:03+01:00,2026-03-10,2,2,2,2,2-2-2-2,2,3,3,3
185,2026-03-10 08:21:04+01:00,2026-03-10 08:21:04+01:00,2026-03-10,2,5,2,2,2-5-2-2,2,3,1,1
186,2026-03-10 08:21:05+01:00,2026-03-10 08:21:18+01:00,2026-03-10,2,4,2,2,2-4-2-2,2,3,14,14
